cid,bdate,gen
AW00021375,1954-11-21,n/a
AW00021376,1966-09-06,n/a
AW00021377,1955-08-17,n/a
AW00021378,1956-06-07,n/a
AW00021379,1955-10-06,n/a
AW00021380,1955-12-02,n/a
AW00021381,1955-07-02,n/a
AW00021382,1961-05-20,n/a
AW00021383,1962-08-07,n/a
AW00021384,1957-05-23,n/a
AW00021385,1985-12-21,n/a
AW00021386,1986-03-10,n/a
AW00021387,1957-06-01,n/a
AW00021388,1984-12-24,n/a
AW00021389,1958-06-13,n/a
AW00021390,1964-04-12,n/a
AW00021391,1960-01-01,n/a
AW00021392,1959-08-22,n/a
AW00021393,1959-10-26,n/a
AW00021394,1960-05-23,n/a
AW00021395,1981-05-19,n/a
AW00021396,1981-06-17,n/a
AW00021397,1986-06-05,n/a
AW00021398,1986-03-21,n/a
AW00021399,1981-05-24,n/a
AW00021400,1984-11-21,n/a
AW00021401,1984-04-09,n/a
AW00021402,1961-12-25,n/a
AW00021403,1963-04-18,n/a
AW00021404,1962-12-17,n/a
AW00021405,1975-03-22,n/a
AW00021406,1964-10-09,n/a
AW00021407,1970-01-30,n/a
AW00021408,1964-12-03,n/a
AW00021409,1964-12-22,n/a
AW00021410,1984-08-03,n/a
AW00021411,1979-01-09,n/a
AW00021412,1980-03-25,n/a
AW00021413,1979-07-08,n/a
AW00021414,1979-12-05,n/a
AW00021415,1980-01-19,n/a
AW00021416,1985-04-14,n/a
AW00021417,1980-01-01,n/a
AW00021418,1964-07-22,n/a
AW00021419,1971-12-09,n/a
AW00021420,1968-09-13,n/a
AW00021421,1968-02-20,n/a
AW00021422,1962-07-12,n/a
AW00021423,1963-01-16,n/a
AW00021424,1973-02-28,n/a
AW00021425,1961-12-25,n/a
AW00021426,1962-04-05,n/a
AW00021427,1962-01-31,n/a
AW00021428,1962-06-13,n/a
AW00021429,1978-06-04,n/a
AW00021430,1938-04-04,n/a
AW00021431,1976-04-15,n/a
AW00021432,1971-05-27,n/a
AW00021433,1976-08-01,n/a
AW00021434,1971-03-31,n/a
AW00021435,1976-04-09,n/a
AW00021436,1973-10-23,n/a
AW00021437,1968-03-05,n/a
AW00021438,1967-10-14,n/a
AW00021439,1973-01-14,n/a
AW00021440,1967-08-14,n/a
AW00021441,1953-08-10,n/a
AW00021442,1953-05-18,n/a
AW00021443,1947-11-07,n/a
AW00021444,1948-06-21,n/a
AW00021445,1948-09-13,n/a
AW00021446,1949-04-14,n/a
AW00021447,1948-08-25,n/a
AW00021448,1948-10-01,n/a
AW00021449,1948-07-21,n/a
AW00021450,1949-08-06,n/a
AW00021451,1950-04-27,n/a
AW00021452,1949-11-18,n/a
AW00021453,1955-02-17,n/a
AW00021454,1949-08-06,n/a
AW00021455,1951-06-17,n/a
AW00021456,1950-08-26,n/a
AW00021457,1951-03-24,n/a
AW00021458,1956-05-08,n/a
AW00021459,1951-03-24,n/a
AW00021460,1951-02-04,n/a
AW00021461,1950-11-30,n/a
AW00021462,1951-03-02,n/a
AW00021463,1951-04-24,n/a
AW00021464,1950-10-07,n/a
AW00021465,1951-10-29,n/a
AW00021466,1951-09-05,n/a
AW00021467,1952-01-31,n/a
AW00021468,1952-02-24,n/a
AW00021469,1953-03-26,n/a
AW00021470,1952-09-12,n/a
AW00021471,1952-10-28,n/a
AW00021472,1953-05-18,n/a
AW00021473,1954-04-10,n/a
AW00021474,1954-04-21,n/a
AW00021475,1959-08-17,n/a
AW00021476,1954-04-08,n/a
AW00021477,1953-12-08,n/a
AW00021478,1954-01-11,n/a
AW00021479,1953-08-02,n/a
AW00021480,1954-09-06,n/a
AW00021481,1954-11-06,n/a
AW00021482,1955-04-07,n/a
AW00021483,1954-12-14,n/a
AW00021484,1971-04-19,n/a
AW00021485,1971-02-08,n/a
AW00021486,1955-03-03,n/a
AW00021487,1954-09-08,n/a
AW00021488,1955-04-01,n/a
AW00021489,1956-02-17,n/a
AW00021490,1956-05-05,n/a
AW00021491,1961-04-08,n/a
AW00021492,1956-04-21,n/a
AW00021493,1956-06-18,n/a
AW00021494,1962-09-05,n/a
AW00021495,1957-01-29,n/a
AW00021496,1962-11-07,n/a
AW00021497,1962-01-11,n/a
AW00021498,1962-05-02,n/a
AW00021499,1957-04-22,n/a
AW00021500,1957-08-16,n/a
AW00021501,1957-08-02,n/a
AW00021502,1963-11-22,n/a
AW00021503,1957-12-24,n/a
AW00021504,1957-10-18,n/a
AW00021505,1968-04-16,n/a
AW00021506,1968-10-19,n/a
AW00021507,1962-07-15,n/a
AW00021508,1961-09-22,n/a
AW00021509,1961-05-20,n/a
AW00021510,1960-06-18,n/a
AW00021511,1965-02-02,n/a
AW00021512,1960-05-22,n/a
AW00021513,1949-10-24,n/a
AW00021514,1949-09-08,n/a
AW00021515,1949-08-13,n/a
AW00021516,1949-10-10,n/a
AW00021517,1950-04-16,n/a
AW00021518,1951-05-18,n/a
AW00021519,1950-10-06,n/a
AW00021520,1951-01-14,n/a
AW00021521,1951-08-08,n/a
AW00021522,1952-01-08,n/a
AW00021523,1963-02-18,n/a
AW00021524,1958-08-11,n/a
AW00021525,1959-02-10,n/a
AW00021526,1975-10-31,n/a
AW00021527,1960-03-20,n/a
AW00021528,1959-11-03,n/a
AW00021529,1958-09-01,n/a
AW00021530,1964-01-31,n/a
AW00021531,1958-08-10,n/a
AW00021532,1958-09-22,n/a
AW00021533,1969-12-18,n/a
AW00021534,1963-04-23,n/a
AW00021535,1962-07-23,n/a
AW00021536,1956-08-18,n/a
AW00021537,1956-12-05,n/a
AW00021538,1955-10-08,n/a
AW00021539,1966-09-19,n/a
AW00021540,1955-08-17,n/a
AW00021541,1966-09-19,n/a
AW00021542,1954-11-21,n/a
AW00021543,1960-01-30,n/a
AW00021544,1971-04-19,n/a
AW00021545,1955-04-12,n/a
AW00021546,1953-11-22,n/a
AW00021547,1970-05-06,n/a
AW00021548,1959-08-30,n/a
AW00021549,1963-09-16,n/a
AW00021550,1958-08-22,n/a
AW00021551,1981-02-16,n/a
AW00021552,1981-05-18,n/a
AW00021553,1981-04-15,n/a
AW00021554,1979-01-21,n/a
AW00021555,1979-09-06,n/a
AW00021556,1979-11-24,n/a
AW00021557,1979-10-14,n/a
AW00021558,1984-12-20,n/a
AW00021559,1978-10-05,n/a
AW00021560,1979-03-12,n/a
AW00021561,1977-11-17,n/a
AW00021562,1983-10-16,n/a
AW00021563,1977-06-23,n/a
AW00021564,1977-01-28,n/a
AW00021565,1983-11-08,n/a
AW00021566,1977-07-14,n/a
AW00021567,1982-07-09,n/a
AW00021568,1977-05-20,n/a
AW00021569,1981-09-10,n/a
AW00021570,1975-12-30,n/a
AW00021571,1975-10-23,n/a
AW00021572,1982-04-23,n/a
AW00021573,1975-01-31,n/a
AW00021574,1970-01-15,n/a
AW00021575,1962-02-12,n/a
AW00021576,1962-04-11,n/a
AW00021577,1939-09-08,n/a
AW00021578,1950-10-15,n/a
AW00021579,1940-05-03,n/a
AW00021580,1969-06-26,n/a
AW00021581,1969-01-10,n/a
AW00021582,1983-03-10,n/a
AW00021583,1977-10-03,n/a
AW00021584,1977-08-02,n/a
AW00021585,1977-12-16,n/a
AW00021586,1978-01-03,n/a
AW00021587,1983-05-25,n/a
AW00021588,1977-08-02,n/a
AW00021589,1975-09-12,n/a
AW00021590,1976-05-06,n/a
AW00021591,1976-03-25,n/a
AW00021592,1975-09-18,n/a
AW00021593,1975-05-01,n/a
AW00021594,1985-08-16,n/a
AW00021595,1982-10-19,n/a
AW00021596,1977-01-30,n/a
AW00021597,1982-01-30,n/a
AW00021598,1980-10-10,n/a
AW00021599,1980-12-08,n/a
AW00021600,1973-11-24,n/a
AW00021601,1979-02-16,n/a
AW00021602,1974-06-24,n/a
AW00021603,1973-12-18,n/a
AW00021604,1972-11-14,n/a
AW00021605,1975-08-25,n/a
AW00021606,1981-04-07,n/a
AW00021607,1975-10-10,n/a
AW00021608,1981-12-02,n/a
AW00021609,1976-01-05,n/a
AW00021610,1981-02-16,n/a
AW00021611,1975-09-15,n/a
AW00021612,1972-12-21,n/a
AW00021613,1972-10-15,n/a
AW00021614,1973-02-13,n/a
AW00021615,1972-11-15,n/a
AW00021616,1972-05-05,n/a
AW00021617,1982-08-23,n/a
AW00021618,1977-08-16,n/a
AW00021619,1971-10-17,n/a
AW00021620,1986-01-30,n/a
AW00021621,1980-01-31,n/a
AW00021622,1974-11-15,n/a
AW00021623,1974-11-20,n/a
AW00021624,1974-07-17,n/a
AW00021625,1975-02-24,n/a
AW00021626,1980-10-21,n/a
AW00021627,1980-03-12,n/a
AW00021628,1971-02-18,n/a
AW00021629,1976-08-12,n/a
AW00021630,1976-03-05,n/a
AW00021631,1976-04-15,n/a
AW00021632,1971-03-06,n/a
AW00021633,1971-01-14,n/a
AW00021634,1976-05-21,n/a
AW00021635,1976-03-16,n/a
AW00021636,1971-04-18,n/a
AW00021637,1980-10-14,n/a
AW00021638,1970-05-02,n/a
AW00021639,1975-03-23,n/a
AW00021640,1969-10-05,n/a
AW00021641,1981-02-16,n/a
AW00021642,1969-12-01,n/a
AW00021643,1970-02-12,n/a
AW00021644,1969-11-19,n/a
AW00021645,1970-02-04,n/a
AW00021646,1968-12-02,n/a
AW00021647,1968-08-03,n/a
AW00021648,1969-04-11,n/a
AW00021649,1969-03-07,n/a
AW00021650,1969-05-22,n/a
AW00021651,1969-05-12,n/a
AW00021652,1974-09-29,n/a
AW00021653,1968-07-03,n/a
AW00021654,1969-05-26,n/a
AW00021655,1974-06-17,n/a
AW00021656,1968-12-21,n/a
AW00021657,1968-09-03,n/a
AW00021658,1969-03-17,n/a
AW00021659,1968-12-22,n/a
AW00021660,1969-01-24,n/a
AW00021661,1984-02-15,n/a
AW00021662,1977-11-29,n/a
AW00021663,1978-02-13,n/a
AW00021664,1977-08-26,n/a
AW00021665,1979-01-05,n/a
AW00021666,1979-01-01,n/a
AW00021667,1978-09-25,n/a
AW00021668,1979-03-11,n/a
AW00021669,1978-10-01,n/a
AW00021670,1983-04-03,n/a
AW00021671,1978-04-23,n/a
AW00021672,1977-11-03,n/a
AW00021673,1978-01-14,n/a
AW00021674,1976-09-17,n/a
AW00021675,1976-08-09,n/a
AW00021676,1977-01-04,n/a
AW00021677,1977-05-24,n/a
AW00021678,1977-01-08,n/a
AW00021679,1977-04-06,n/a
AW00021680,1982-05-23,n/a
AW00021681,1976-12-28,n/a
AW00021682,1977-03-05,n/a
AW00021683,1982-02-11,n/a
AW00021684,1923-04-14,n/a
AW00021685,1980-01-14,n/a
AW00021686,1980-03-16,n/a
AW00021687,1979-07-11,n/a
AW00021688,1936-06-15,n/a
AW00021689,1936-08-03,n/a
AW00021690,1972-01-24,n/a
AW00021691,1972-03-01,n/a
AW00021692,1972-05-05,n/a
AW00021693,1972-01-25,n/a
AW00021694,1971-12-19,n/a
AW00021695,1972-04-04,n/a
AW00021696,1964-05-10,n/a
AW00021697,1959-04-18,n/a
AW00021698,1959-01-15,n/a
AW00021699,1959-09-29,n/a
AW00021700,1965-09-30,n/a
AW00021701,1961-01-04,n/a
AW00021702,1960-08-05,n/a
AW00021703,1961-03-10,n/a
AW00021704,1960-10-23,n/a
AW00021705,1962-04-09,n/a
AW00021706,1974-06-03,n/a
AW00021707,1973-08-14,n/a
AW00021708,1969-01-31,n/a
AW00021709,1969-10-05,n/a
AW00021710,1975-05-01,n/a
AW00021711,1964-05-10,n/a
AW00021712,1963-12-12,n/a
AW00021713,1964-06-09,n/a
AW00021714,1964-03-08,n/a
AW00021715,1969-05-09,n/a
AW00021716,1963-08-30,n/a
AW00021717,1976-01-06,n/a
AW00021718,1976-05-13,n/a
AW00021719,1965-05-25,n/a
AW00021720,1964-11-04,n/a
AW00021721,1964-11-21,n/a
AW00021722,1964-11-01,n/a
AW00021723,1977-09-06,n/a
AW00021724,1978-03-12,n/a
AW00021725,1983-08-18,n/a
AW00021726,1979-02-19,n/a
AW00021727,1978-12-22,n/a
AW00021728,1979-01-06,n/a
AW00021729,1984-07-07,n/a
AW00021730,1978-10-18,n/a
AW00021731,1979-01-22,n/a
AW00021732,1978-04-23,n/a
AW00021733,1977-05-03,n/a
AW00021734,1977-01-29,n/a
AW00021735,1982-04-21,n/a
AW00021736,1982-04-20,n/a
AW00021737,1968-02-16,n/a
AW00021738,1973-09-14,n/a
AW00021739,1973-08-17,n/a
AW00021740,1968-04-24,n/a
AW00021741,1972-12-08,n/a
AW00021742,1976-11-11,n/a
AW00021743,1971-04-20,n/a
AW00021744,1970-09-15,n/a
AW00021745,1970-01-30,n/a
AW00021746,1973-03-12,n/a
AW00021747,1967-10-14,n/a
AW00021748,1979-04-20,n/a
AW00021749,1947-08-25,n/a
AW00021750,1953-10-05,n/a
AW00021751,1948-05-09,n/a
AW00021752,1953-03-31,n/a
AW00021753,1948-05-21,n/a
AW00021754,1953-10-05,n/a
AW00021755,1948-09-20,n/a
AW00021756,1949-05-23,n/a
AW00021757,1954-09-08,n/a
AW00021758,1949-08-21,n/a
AW00021759,1949-10-18,n/a
AW00021760,1950-04-17,n/a
AW00021761,1950-02-13,n/a
AW00021762,1950-02-22,n/a
AW00021763,1962-03-07,n/a
AW00021764,1950-10-06,n/a
AW00021765,1962-02-08,n/a
AW00021766,1950-11-23,n/a
AW00021767,1951-12-11,n/a
AW00021768,1952-02-19,n/a
AW00021769,1951-10-13,n/a
AW00021770,1957-08-07,n/a
AW00021771,1952-06-08,n/a
AW00021772,1951-08-16,n/a
AW00021773,1951-12-19,n/a
AW00021774,1952-12-19,n/a
AW00021775,1952-10-20,n/a
AW00021776,1953-03-03,n/a
AW00021777,1952-12-19,n/a
AW00021778,1952-10-31,n/a
AW00021779,1958-10-01,n/a
AW00021780,1963-08-19,n/a
AW00021781,1952-12-19,n/a
AW00021782,1954-02-13,Male
AW00021783,1954-04-18,Female
AW00021784,1954-04-04,Female
AW00021785,1953-11-08,Female
AW00021786,1953-12-30,Female
AW00021787,1954-05-15,Female
AW00021788,1953-11-01,Male
AW00021789,1953-12-23,Female
AW00021790,1953-08-23,Male
AW00021791,1954-06-18,Male
AW00021792,1954-12-11,Female
AW00021793,1955-02-21,Female
AW00021794,1960-09-11,Female
AW00021795,1960-01-19,Male
AW00021796,1955-10-08,Female
AW00021797,1956-03-24,Male
AW00021798,1956-03-24,Female
AW00021799,1956-03-26,Male
AW00021800,1956-03-18,Female
AW00021801,1956-04-13,Female
AW00021802,1955-10-18,Male
AW00021803,1957-03-21,Female
AW00021804,1962-08-07,Female
AW00021805,1956-10-15,Male
AW00021806,1956-08-02,Male
AW00021807,1957-05-01,Female
AW00021808,1956-08-19,Female
AW00021809,1968-03-30,Female
AW00021810,1957-06-16,Male
AW00021811,1957-08-11,Female
AW00021812,1957-07-04,Male
AW00021813,1963-08-30,Male
AW00021814,1957-09-21,Male
AW00021815,1957-11-02,Female
AW00021816,1964-01-17,Male
AW00021817,1963-10-07,Male
AW00021818,1963-04-23,Male
AW00021819,1963-05-02,Female
AW00021820,1973-12-05,Female
AW00021821,1962-11-19,Male
AW00021822,1962-08-26,Male
AW00021823,1967-03-06,Female
AW00021824,1961-12-31,Male
AW00021825,1961-05-18,Male
AW00021826,1961-01-06,Female
AW00021827,1960-07-06,Female
AW00021828,1960-08-01,Female
AW00021829,1960-07-17,Female
AW00021830,1961-04-15,Female
AW00021831,1965-08-30,Female
AW00021832,1949-10-25,Male
AW00021833,1955-06-16,Male
AW00021834,1955-08-04,Female
AW00021835,1949-10-20,Female
AW00021836,1950-01-08,Female
AW00021837,1951-01-21,Female
AW00021838,1951-03-02,Male
AW00021839,1956-10-16,Male
AW00021840,1951-05-09,Female
AW00021841,1950-12-10,Female
AW00021842,1952-05-13,Male
AW00021843,1952-04-01,Female
AW00021844,1959-10-05,Male
AW00021845,1959-10-31,Male
AW00021846,1960-05-08,Male
AW00021847,1959-11-23,Male
AW00021848,1958-07-27,Male
AW00021849,1957-07-12,Male
AW00021850,1957-03-13,Male
AW00021851,1957-03-06,Male
AW00021852,1957-01-29,Male
AW00021853,1956-07-17,Female
AW00021854,1956-09-17,Female
AW00021855,1962-08-08,Female
AW00021856,1955-11-08,Male
AW00021857,1955-07-20,Male
AW00021858,1971-08-08,Male
AW00021859,1954-02-13,Female
AW00021860,1959-01-07,Female
AW00021861,1954-04-25,Female
AW00021862,1954-03-04,Female
AW00021863,1959-08-19,Female
AW00021864,1954-04-21,Male
AW00021865,1954-05-22,Female
AW00021866,1952-08-20,Female
AW00021867,1953-05-13,Male
AW00021868,1952-08-02,Female
AW00021869,1953-04-08,Female
AW00021870,1953-03-03,Female
AW00021871,1982-05-05,Male
AW00021872,1981-05-30,Female
AW00021873,1981-01-30,Female
AW00021874,1981-11-19,Female
AW00021875,1982-02-14,Male
AW00021876,1981-10-24,Male
AW00021877,1982-02-10,Male
AW00021878,1981-10-23,Male
AW00021879,1980-04-07,Male
AW00021880,1985-08-16,Male
AW00021881,1981-04-14,Female
AW00021882,1981-03-22,Male
AW00021883,1979-09-04,Female
AW00021884,1979-01-05,Female
AW00021885,1980-06-03,Male
AW00021886,1979-11-07,Female
AW00021887,1977-11-09,Female
AW00021888,1979-03-04,Male
AW00021889,1979-02-14,Female
AW00021890,1978-08-05,Female
AW00021891,1977-12-21,Female
AW00021892,1977-02-22,Female
AW00021893,1976-12-12,Female
AW00021894,1981-11-09,Male
AW00021895,1981-10-05,Female
AW00021896,1976-01-23,Male
AW00021897,1977-04-18,Male
AW00021898,1976-08-04,Male
AW00021899,1982-04-06,Female
AW00021900,1980-10-14,Male
AW00021901,1969-11-21,Female
AW00021902,1981-03-16,Female
AW00021903,1962-01-12,Male
AW00021904,1967-02-04,Male
AW00021905,1940-03-18,Male
AW00021906,1939-08-05,Female
AW00021907,1940-02-17,Female
AW00021908,1939-12-30,Female
AW00021909,1939-12-22,Female
AW00021910,1985-08-13,Female
AW00021911,1986-06-22,Female
AW00021912,1985-09-18,Female
AW00021913,1985-11-24,Male
AW00021914,1985-08-18,Female
AW00021915,1967-10-29,Male
AW00021916,1972-02-05,Male
AW00021917,1977-12-18,Male
AW00021918,1967-05-03,Female
AW00021919,1967-02-04,Female
AW00021920,1966-08-15,Female
AW00021921,1967-01-30,Male
AW00021922,1967-05-23,Female
AW00021923,1967-01-17,Male
AW00021924,1971-03-10,Male
AW00021925,1966-01-30,Female
AW00021926,1973-01-11,Female
AW00021927,1973-03-15,Female
AW00021928,1972-08-30,Male
AW00021929,1984-05-14,Female
AW00021930,1984-01-20,Female
AW00021931,1966-03-20,Male
AW00021932,1970-12-10,Male
AW00021933,1965-04-01,Female
AW00021934,1964-12-07,Female
AW00021935,1970-07-24,Female
AW00021936,1970-12-11,Female
AW00021937,1970-11-23,Female
AW00021938,1970-06-09,Female
AW00021939,1970-03-07,Male
AW00021940,1965-01-20,Male
AW00021941,1963-08-19,Female
AW00021942,1964-03-04,Female
AW00021943,1975-02-05,Female
AW00021944,1980-09-16,Female
AW00021945,1985-08-13,Female
AW00021946,1974-07-03,Female
AW00021947,1975-04-08,Female
AW00021948,1974-10-10,Female
AW00021949,1980-09-23,Male
AW00021950,1974-10-03,Male
AW00021951,1981-11-23,Male
AW00021952,1974-01-03,Female
AW00021953,1973-01-18,Male
AW00021954,1978-05-20,Female
AW00021955,1975-02-19,Female
AW00021956,1975-04-15,Male
AW00021957,1974-11-15,Female
AW00021958,1975-04-18,Female
AW00021959,1975-01-13,Male
AW00021960,1972-08-17,Female
AW00021961,1978-04-16,Female
AW00021962,1972-10-28,Female
AW00021963,1978-08-19,Female
AW00021964,1973-01-30,Male
AW00021965,1972-02-21,Female
AW00021966,1972-04-25,Male
AW00021967,1970-10-07,Male
AW00021968,1974-02-01,Male
AW00021969,1973-09-22,Female
AW00021970,1986-02-13,Female
AW00021971,1969-11-21,Male
AW00021972,1975-09-29,Female
AW00021973,1969-08-14,Female
AW00021974,1986-01-30,Female
AW00021975,1974-01-01,Male
AW00021976,1968-12-28,Female
AW00021977,1969-01-17,Male
AW00021978,1972-09-04,Female
AW00021979,1973-09-12,Male
AW00021980,1967-03-10,Female
AW00021981,1972-04-07,Female
AW00021982,1966-08-25,Female
AW00021983,1966-09-19,Male
AW00021984,1971-02-15,Female
AW00021985,1966-04-13,Male
AW00021986,1965-12-09,Female
AW00021987,1971-06-03,Male
AW00021988,1970-10-01,Female
AW00021989,1970-09-30,Male
AW00021990,1976-03-11,Male
AW00021991,1971-01-11,Female
AW00021992,1971-02-24,Male
AW00021993,1981-03-16,Male
AW00021994,1964-09-09,Female
AW00021995,1967-09-19,Female
AW00021996,1967-05-19,Female
AW00021997,1963-09-11,Male
AW00021998,1964-05-07,Male
AW00021999,1969-05-09,Female
AW00022000,1969-09-07,Female
AW00022001,1963-04-20,Male
AW00022002,1942-02-02,Female
AW00022003,1942-02-20,Female
AW00022004,1966-02-13,Female
AW00022005,1965-08-31,Female
AW00022006,1965-12-18,Male
AW00022007,1982-03-13,Female
AW00022008,1980-10-05,Female
AW00022009,1980-08-08,Male
AW00022010,1981-01-09,Male
AW00022011,1986-05-13,Male
AW00022012,1985-12-24,Female
AW00022013,1986-05-01,Male
AW00022014,1985-11-16,Male
AW00022015,1986-04-14,Female
AW00022016,1986-04-21,Male
AW00022017,1943-06-08,Female
AW00022018,1942-11-06,Male
AW00022019,1983-08-23,Female
AW00022020,1943-10-16,Male
AW00022021,1983-03-20,Male
AW00022022,1983-05-04,Male
AW00022023,1982-10-29,Male
AW00022024,1982-08-11,Male
AW00022025,1982-12-04,Female
AW00022026,1984-10-04,Female
AW00022027,1984-12-02,Male
AW00022028,1945-05-21,Female
AW00022029,1945-05-02,Female
AW00022030,1945-11-19,Female
AW00022031,1946-02-09,Male
AW00022032,1948-03-11,Male
AW00022033,1947-12-15,Male
AW00022034,1981-10-01,Male
AW00022035,1982-05-09,Male
AW00022036,1981-04-30,Female
AW00022037,1980-11-28,Female
AW00022038,1985-02-14,Female
AW00022039,1979-09-13,Female
AW00022040,1980-04-14,Male
AW00022041,1978-10-31,Female
AW00022042,1983-08-18,Female
AW00022043,1978-02-09,Female
AW00022044,1983-05-13,Male
AW00022045,1979-05-04,Male
AW00022046,1984-08-16,Female
AW00022047,1979-12-13,Male
AW00022048,1972-10-19,Female
AW00022049,1978-05-03,Male
AW00022050,1973-08-17,Male
AW00022051,1974-06-04,Female
AW00022052,1979-05-05,Male
AW00022053,1979-12-12,Male
AW00022054,1974-02-21,Male
AW00022055,1979-03-02,Female
AW00022056,1984-08-17,Male
AW00022057,1984-08-12,Male
AW00022058,1984-05-04,Male
AW00022059,1983-08-09,Male
AW00022060,1984-05-05,Male
AW00022061,1984-03-19,Female
AW00022062,1983-10-26,Male
AW00022063,1951-04-01,Female
AW00022064,1950-11-21,Male
AW00022065,1951-12-31,Male
AW00022066,1982-03-14,Female
AW00022067,1982-01-14,Female
AW00022068,1968-12-12,Male
AW00022069,1974-12-02,Female
AW00022070,1968-12-29,Male
AW00022071,1969-05-19,Male
AW00022072,1969-01-31,Male
AW00022073,1968-06-23,Male
AW00022074,1973-08-11,Male
AW00022075,1973-05-11,Male
AW00022076,1973-06-20,Male
AW00022077,1968-01-07,Male
AW00022078,1973-07-04,Male
AW00022079,1972-10-12,Female
AW00022080,1972-11-30,Female
AW00022081,1972-04-03,Female
AW00022082,1972-10-19,Male
AW00022083,1966-09-13,Male
AW00022084,1972-07-03,Male
AW00022085,1972-07-09,Female
AW00022086,1967-05-17,Female
AW00022087,1972-10-12,Female
AW00022088,1966-07-19,Female
AW00022089,1966-09-01,Male
AW00022090,1961-05-19,Female
AW00022091,1961-02-19,Female
AW00022092,1960-08-22,Female
AW00022093,1960-12-13,Female
AW00022094,1960-12-01,Male
AW00022095,1961-04-13,Male
AW00022096,1959-07-22,Male
AW00022097,1946-05-04,Male
AW00022098,1941-04-16,Female
AW00022099,1940-10-20,Male
AW00022100,1982-03-13,Male
AW00022101,1971-05-09,Female
AW00022102,1971-02-04,Male
AW00022103,1971-06-22,Female
AW00022104,1965-07-19,Male
AW00022105,1965-09-20,Female
AW00022106,1976-12-04,Female
AW00022107,1965-09-30,Male
AW00022108,1959-12-15,Male
AW00022109,1959-08-02,Male
AW00022110,1960-02-05,Male
AW00022111,1960-05-09,Female
AW00022112,1960-06-24,Female
AW00022113,1964-09-10,Female
AW00022114,1959-01-13,Male
AW00022115,1958-12-11,Male
AW00022116,1964-10-31,Male
AW00022117,1958-10-09,Female
AW00022118,1958-11-17,Female
AW00022119,1964-10-09,Female
AW00022120,1959-05-01,Female
AW00022121,1957-11-09,Male
AW00022122,1958-04-24,Female
AW00022123,1942-10-01,Female
AW00022124,1943-03-05,Female
AW00022125,1942-08-02,Male
AW00022126,1943-01-31,Female
AW00022127,1949-11-05,Male
AW00022128,1943-10-05,Female
AW00022129,1944-06-06,Female
AW00022130,1949-08-24,Male
AW00022131,1943-12-29,Female
AW00022132,1943-08-25,Female
AW00022133,1944-03-22,Male
AW00022134,1945-05-09,Male
AW00022135,1944-12-16,Female
AW00022136,1945-05-13,Male
AW00022137,1945-09-17,Female
AW00022138,1946-03-11,Female
AW00022139,1951-05-05,Male
AW00022140,1947-06-21,Female
AW00022141,1952-09-09,Male
AW00022142,1946-10-08,Male
AW00022143,1947-01-12,Female
AW00022144,1946-08-06,Male
AW00022145,1946-12-04,Male
AW00022146,1953-10-17,Male
AW00022147,1952-10-14,Male
AW00022148,1952-08-24,Female
AW00022149,1953-03-14,Male
AW00022150,1952-08-24,Male
AW00022151,1954-01-03,Male
AW00022152,1983-08-18,Male
AW00022153,1984-02-01,Female
AW00022154,1982-07-24,Female
AW00022155,1954-01-02,Male
AW00022156,1953-09-01,Female
AW00022157,1983-05-22,Female
AW00022158,1982-08-16,Female
AW00022159,1982-11-14,Male
AW00022160,1983-06-10,Male
AW00022161,1983-04-03,Female
AW00022162,1982-10-09,Male
AW00022163,1982-12-29,Female
AW00022164,1983-02-21,Female
AW00022165,1982-05-01,Male
AW00022166,1982-02-25,Female
AW00022167,1960-03-18,Female
AW00022168,1954-10-30,Female
AW00022169,1956-06-11,Female
AW00022170,1956-03-17,Female
AW00022171,1956-11-06,Female
AW00022172,1962-09-05,Male
AW00022173,1957-10-18,Female
AW00022174,1957-10-30,Male
AW00022175,1958-05-05,Female
AW00022176,1959-03-10,Male
AW00022177,1958-09-22,Female
AW00022178,1958-12-24,Female
AW00022179,1959-08-08,Female
AW00022180,1965-10-10,Male
AW00022181,1976-10-13,Male
AW00022182,1981-05-03,Female
AW00022183,1981-04-24,Male
AW00022184,1981-01-23,Male
AW00022185,1980-11-29,Male
AW00022186,1981-04-02,Male
AW00022187,1979-12-22,Female
AW00022188,1984-06-04,Female
AW00022189,1978-08-31,Female
AW00022190,1981-08-17,Male
AW00022191,1981-08-08,Male
AW00022192,1982-03-11,Male
AW00022193,1961-05-20,Female
AW00022194,1971-10-16,Male
AW00022195,1961-10-22,Male
AW00022196,1967-01-21,Male
AW00022197,1962-06-13,Male
AW00022198,1973-05-10,Male
AW00022199,1961-12-06,Male
AW00022200,1962-09-25,Female
AW00022201,1962-07-05,Female
AW00022202,1963-01-03,Male
AW00022203,1969-06-12,Female
AW00022204,1963-12-22,Male
AW00022205,1964-02-07,Male
AW00022206,1969-08-30,Female
AW00022207,1963-07-01,Female
AW00022208,1965-04-09,Female
AW00022209,1964-07-11,Male
AW00022210,1970-04-03,Female
AW00022211,1979-08-24,Male
AW00022212,1964-09-03,Female
AW00022213,1964-09-02,Male
AW00022214,1970-01-01,Female
AW00022215,1972-06-23,Male
AW00022216,1977-03-11,Male
AW00022217,1963-06-17,Male
AW00022218,1962-08-24,Male
AW00022219,1962-08-01,Female
AW00022220,1967-12-30,Male
AW00022221,1968-10-14,Male
AW00022222,1963-01-21,Male
